BLUE,GREEN,RED,NIR,SWIR,Landcover
999.0,1162.6666,1130.0,2168.0,2220.0,road
983.8,1138.0,1118.0,2167.0,2104.0,road
965.6667,1191.0,1191.0,1931.3334,2085.25,road
854.0,998.0,915.3333,2198.0,1944.0,road
865.5,1011.0,924.6,2158.0,1944.0,road
893.25,1030.5,964.0,2195.3333,1992.5,road
886.3333,1059.5,996.0,2171.0,1985.25,road
903.2,1066.0,1006.8333,2182.5,1981.5,road
890.0,1027.0,952.0,2168.0,1987.0,road
890.0,1033.5,922.0,2173.0,1963.0,road
902.3333,1036.0,971.6667,2101.0,1963.0,road
891.8333,1041.5,980.5,2069.0,1968.5,road
894.1667,1047.0,989.0,2061.6667,1968.5,road
938.0,1058.6666,996.3333,2024.0,1987.0,road
946.5,1094.0,1019.5,1940.75,1984.0,road
949.6667,1101.0,1057.0,1989.3334,1976.0,road
933.5,1091.0,1112.5,2005.3334,1976.0,road
972.0,1108.6666,1125.0,2014.0,2055.6667,road
1078.3334,1223.0,1240.0,2194.6667,2055.6667,road
1033.3334,1142.5714,1130.0,2117.3333,2088.3333,road
983.0,1111.5,1063.0,2108.5,2094.9666,road
958.25,1104.6666,1055.5,2043.0,2023.5,road
954.6667,1072.0,1051.3334,1994.0,2023.5,road
978.6667,1058.6666,1034.0,1974.5,2024.25,road
965.0,1086.75,1058.5,2045.5,2024.25,road
956.3333,1108.0,1058.0,2042.0,2036.4,road
956.3333,1108.0,1058.0,2042.0,2036.4,road
947.0,1108.0,1040.0,2106.6667,2044.7,road
957.5,1098.5,1039.8334,2214.6667,2084.8,road
963.5,1115.3334,1041.0,2202.0,2084.8,road
957.0,1097.0,1028.0,2176.0,2086.0,road
927.5,1078.3334,1009.0,2184.6667,2086.0,road
936.25,1092.0,1028.0,2288.5,2115.0,road
980.6667,1124.0,1058.0,2321.0,2115.0,road
998.8333,1145.3334,1061.5,2294.5,2203.5,road
969.6667,1146.5,1094.0,2294.0,2203.5,road
962.0,1162.0,1099.3334,2374.0,2185.0,road
966.0,1161.3334,1091.0,2314.0,2185.0,road
969.0,1147.3334,1092.0,2298.0,2167.5,road
984.0,1136.0,1066.0,2323.0,2167.5,road
971.5,1146.0,1101.0,2338.0,2197.2,road
979.5,1165.3334,1082.0,2360.0,2197.2,road
980.6667,1162.8,1082.6666,2325.0,2197.4,road
993.0,1187.0,1106.0,2320.0,2197.4,road
1004.0,1176.3334,1103.0,2327.3333,2186.0,road
1003.6667,1163.3334,1099.5,2293.0,2186.0,road
980.3333,1172.0,1115.3334,2286.0,2181.0,road
1001.0,1169.0,1098.6666,2297.0,2172.3333,road
976.5,1137.3334,1101.0,2068.5,2136.2,road
983.0,1145.6666,1114.0,2116.0,2136.2,road
981.5,1116.0,1070.0,2065.0,2164.0,road
974.6,1112.0,1079.5,2097.5,2164.0,road
955.1667,1123.0,1081.0,2037.2,2169.3333,road
971.0,1123.3334,1078.0,2118.0,2169.3333,road
952.6667,1114.0,1066.0,2100.0,2151.2,road
932.0,1090.6666,1050.6666,2068.0,2151.2,road
