BLUE,GREEN,RED,NIR,SWIR,Landcover
1051.4,1106.0,1168.75,1391.0,2130.0,builtup
994.6667,1018.5,1104.3334,1431.5,2174.625,builtup
1240.6666,1302.5,1464.6666,1714.6666,2174.625,builtup
1265.3334,1280.5,1443.6666,1605.0,2273.6667,builtup
859.0,888.6667,1003.5,1238.6666,2273.6667,builtup
967.0,915.5,1024.0,1447.2,2314.5,builtup
952.8,936.8333,1258.0,1604.0,2319.375,builtup
1129.3334,1144.6666,1356.0,1504.0,2181.6667,builtup
1272.6666,1339.0,1332.0,1664.0,2181.6667,builtup
977.0,1040.5,1157.3334,1610.0,2118.0,builtup
810.0,921.5,1091.3334,1623.0,2118.0,builtup
951.15,1017.6,1046.0,1830.3334,2179.0,builtup
1047.0,1113.0,1106.0,1764.0,2190.0,builtup
915.6667,1110.5,1175.3334,2057.5,2514.6667,builtup
1214.0,1360.0,1414.0,2428.0,2497.0,builtup
1143.3334,1242.0,1159.5,2192.0,2559.5417,builtup
1067.0,1069.0,1106.0,1520.0,2119.8333,builtup
951.5,934.5,940.75,1293.0,2114.0,builtup
1000.0,1056.0,1110.0,1435.0,2103.5,builtup
1000.0,1050.0,1188.0,1604.5,2212.3333,builtup
1173.3334,1181.0,1207.0,1652.6666,2212.3333,builtup
1264.4,1392.0,1423.6364,1769.5,2309.5,builtup
923.5,980.6,1010.0,1348.6666,2299.0,builtup
919.0,931.5,1092.0,1318.5,2130.0,builtup
1031.6,1063.0,1294.0,1448.8,2130.0,builtup
977.0,1042.0,1170.0,1430.6666,2184.25,builtup
965.5,1022.0,1238.0,1509.3334,2184.25,builtup
1070.0,1110.0,1282.0,1496.0,2273.6667,builtup
869.2,908.0,1077.0,1354.6666,2273.6667,builtup
831.1667,876.5,1142.0,1544.3334,2314.5,builtup
863.0,904.2,1228.0,1622.0,2319.375,builtup
1062.6666,1066.0,1198.0,1450.8,2181.6667,builtup
1216.0,1283.0,1282.0,1582.0,2181.6667,builtup
968.0,1060.0,1149.0,1607.5,2118.0,builtup
821.0,896.4583,1091.3334,1622.0,2118.0,builtup
936.1429,970.0,1100.6666,1722.0,2190.0,builtup
984.5,1053.6666,1098.0,1789.3334,2213.0,builtup
971.5,1076.0,1204.5,2019.5,2497.0,builtup
1385.3334,1542.0,1700.0,2313.0,2497.0,builtup
1205.0,1320.0,1272.0,1990.4,2551.75,builtup
1146.0,1067.0,1092.0,1496.6666,2218.0,builtup
939.5,971.5,966.75,1430.0,2120.0,builtup
843.0,937.8333,1008.75,1500.5,2120.0,builtup
923.0,950.0,1198.0,1557.2,2239.3333,builtup
1197.2858,1226.8334,1365.0,1684.4,2239.3333,builtup
1174.0,1305.0,1442.0,1698.0,2271.5,builtup
967.0,993.0,1089.0,1254.0,2271.5,builtup
950.3333,971.2,1221.0,1478.0,2264.3333,builtup
1123.6,1190.8,1577.3334,1785.0,2264.3333,builtup
983.8571,1035.3334,1145.3334,1336.0,2139.2,builtup
824.0,818.6667,932.0,1193.0,2139.2,builtup
863.0,940.6667,1113.0,1301.3334,2182.0,builtup
937.25,971.5,1138.6666,1336.0,2197.0,builtup
887.4,923.0,1130.0,1462.0,2225.0,builtup
885.5,928.0,1118.0,1468.0,2225.0,builtup
1145.0,1159.3334,1205.5,1470.5,2119.3333,builtup
1296.0,1321.6,1427.0,1637.5,2119.3333,builtup
965.5,1066.3334,1164.0,1690.0,2156.0,builtup
745.0,835.0,949.5,1830.5,2156.0,builtup
778.6667,819.2,943.6667,1727.5,2211.6667,builtup
922.6667,1012.0,1068.0,1621.2,2211.6667,builtup
987.0,1086.0,1296.0,1809.3334,2518.0,builtup
1106.0,1214.3334,1597.6666,1963.3334,2511.0,builtup
1073.0,1162.6666,1195.0,1759.5,2416.0,builtup
1010.6667,1012.5,1047.2,1400.0,2217.2,builtup
981.5,1063.5,1159.5,1609.6666,2120.0,builtup
802.0,882.0,939.5,1722.0,2105.0,builtup
943.4762,1037.0,1113.5,1569.0,2239.3333,builtup
1206.0,1284.6666,1384.0,1623.0,2235.6667,builtup
1063.0,1209.5,1327.0,1573.3334,2271.5,builtup
930.0,1028.6666,1132.0,1339.0,2264.0,builtup
919.0,970.0,1282.0,1544.0,2264.3333,builtup
1111.0,1162.4,1563.0,1781.5,2264.3333,builtup
924.0,977.5,1052.6666,1302.0,2139.2,builtup
808.5,805.5,843.6667,1108.0,2139.2,builtup
865.25,878.25,1071.5,1250.6666,2189.5,builtup
920.75,947.3333,1081.3334,1239.6666,2189.5,builtup
887.8,931.6667,1068.6666,1272.0,2214.5,builtup
980.1667,988.1667,1065.3334,1557.0,2235.8333,builtup
1108.0,1130.0,1228.0,1746.6666,2119.3333,builtup
1276.0,1306.6666,1404.0,1894.0,2119.3333,builtup
1086.75,1195.0,1242.0,1797.6,2156.0,builtup
1066.0,1172.0,1170.0,2256.0,2156.0,builtup
695.375,816.0,863.0,2141.0,2211.6667,builtup
787.0,909.3333,988.5,1781.0,2211.6667,builtup
1001.2,1106.0,1231.5,1706.0,2511.0,builtup
1027.0,1138.6666,1402.6666,1749.0,2518.0,builtup
938.5,1032.0,1152.6666,1674.0,2407.25,builtup
1142.0,1195.0,1478.6666,1737.0,2342.5,builtup
1100.0,1193.0,1323.0,1677.8334,2198.5,builtup
872.0,955.0,1086.0,1668.5,2198.5,builtup
1091.3334,1163.5,1278.0,1754.0,2262.0,builtup
1188.6666,1256.0,1389.3334,1692.5,2262.0,builtup
1014.3333,1056.6666,1162.6666,1582.4,2220.5,builtup
900.0,939.6667,1101.3334,1416.0,2226.0,builtup
919.0,955.3333,1196.0,1416.6666,2198.0,builtup
1190.0,1187.0,1378.0,1544.4,2198.0,builtup
1009.0,1034.5,1166.0,1305.0,2104.0,builtup
891.375,885.5,998.5,1220.0,2104.0,builtup
1032.0,1011.6667,1157.0,1383.0,2280.0,builtup
882.5,927.0,1050.6666,1286.0,2280.0,builtup
853.0,868.5,1077.0,1436.6666,2277.0,builtup
843.5,924.0,1082.6666,2020.0,2277.0,builtup
879.5,1030.0,1106.0,2165.0,2094.5,builtup
1006.0,1117.0,1124.6666,2052.6667,2118.6667,builtup
894.5,1055.0,1032.0,2107.0,2169.25,builtup
1219.3334,1358.0,1316.0,2566.6667,2169.25,builtup
862.5,980.0,993.6667,2263.1428,2279.0,builtup
882.1667,1030.0,1011.75,2065.0,2265.0,builtup
970.0,1117.0,1134.0,1704.0,2358.5,builtup
994.125,1068.0,1206.0,1544.5,2365.5,builtup
741.5,859.0,844.75,1736.6666,2207.5417,builtup
999.0,1078.0,1461.3334,1735.0,2361.0,builtup
989.125,1024.6666,1251.0,1577.0,2198.5,builtup
1005.3333,1091.0,1240.0,1670.0,2198.5,builtup
1176.0,1290.0,1421.0,2013.0,2262.0,builtup
1126.6666,1210.0,1343.4,1679.1666,2262.0,builtup
919.5,955.5,1098.0,1480.0,2226.0,builtup
1062.4,1084.0,1163.3334,1510.25,2226.0,builtup
1005.6,1031.6666,1155.3334,1404.0,2198.0,builtup
956.5,1036.0,1178.0,1367.0,2198.0,builtup
921.25,959.0,1120.0,1227.0,2104.0,builtup
911.25,901.0,1007.25,1204.0,2104.0,builtup
1070.7,999.5,1175.3334,1399.5,2280.0,builtup
926.125,938.75,1175.5,1422.5,2280.0,builtup
