BLUE,GREEN,RED,NIR,SWIR
4242.6665,4417.5,4382.0,4276.0,4987.75
715.0,1034.0,972.0,3200.0,2824.0
980.6667,1162.8,1082.6666,2325.0,2197.4
747.0,1061.0,850.0,3320.0,3023.0
948.6667,1080.0,1042.6666,1876.0,1944.0
3324.0,3492.0,3544.4,3488.0,5265.5
1560.0,1714.0,1720.3334,1752.5,1803.6666
397.5,590.5,378.75,3433.5,2074.8
714.6667,1044.6666,882.0,3215.6,2732.0
385.0,557.25,364.0,3202.0,1926.2
379.0,601.0,398.75,3003.0,2023.0
1005.0,1091.3334,1139.0,1830.8,2200.75
389.0,571.0,361.0,3091.3333,1917.0
371.0,553.75,363.5,2752.0,1835.4
925.25,1059.3334,1001.0,2103.4285,2103.0
874.5,947.5,1138.0,1560.0,2277.0
853.3333,950.7,1097.0,2138.5,2339.25
1637.3334,1977.0,1971.3334,2468.6667,2419.0
1258.5,1449.0,1423.0,2306.5,2441.0
385.25,556.0,405.0,2557.6667,2052.5
709.0,1086.0,918.0,3333.3333,2705.75
401.5,636.0,380.0,3086.0,1943.8
1064.4,1172.5,1146.6666,1720.0,2023.5
980.0,1138.5,1080.3334,2045.0,2172.3333
1481.0,1634.0,1694.0,1717.5,1851.25
755.5,1111.3334,899.0,3361.3333,2723.0
408.0,600.25,418.5,3058.6667,2051.8
403.5,555.5,435.66666,2796.0,1996.5
889.5,1178.0,1130.0,3014.0,2996.75
580.5,910.0,661.0,3504.0,2539.0
1093.3334,1112.3334,1272.0,1523.0,2435.0
984.5,1053.6666,1098.0,1789.3334,2213.0
401.5,602.5,399.25,2864.0,1961.0
983.5,959.0,1180.6666,1509.0,2438.0
736.0,1044.0,956.0,3324.0,2709.0
899.5,1192.0,1149.0,2827.0,3020.5
1045.3334,1081.0,1113.0,1779.0,2181.0
659.75,726.5,1823.3,2129.5,3526.0
4025.4,4245.0,4327.0,4113.0,5372.3335
383.25,548.3333,354.2,3241.25,1907.3334
741.0,1092.0,877.0,3221.0,2657.0
3630.0,3798.5,3889.3333,3780.0,5265.5
1245.0,1319.3334,1343.8,1443.0,1859.5
428.0,641.5,477.33334,2893.3333,1954.25
970.0,1117.0,1134.0,1704.0,2358.5
1214.5,1286.5,1351.6666,1446.0,1802.0
968.4,1069.7,1043.0,1781.3334,1988.6666
1005.6,1031.6666,1155.3334,1404.0,2198.0
443.5,621.5,459.33334,2712.0,2011.0
340.0,498.0,325.0,2604.0,1722.0
994.75,1163.0,1086.0,2043.25,2086.0
1492.6666,1526.0,1553.5,1666.6666,1859.5
396.0,559.0,378.2,3016.0,1926.0
937.25,971.5,1138.6666,1336.0,2197.0
755.375,1072.0,901.5,3356.5,2902.5
915.6667,1110.5,1175.3334,2057.5,2514.6667
701.6,1060.0,843.25,3359.6667,2665.0
802.0,1111.0,982.0,3169.3333,2994.0
747.5,1098.0,957.0,3309.3333,2751.25
1189.2,1272.5,1385.3334,1801.3334,2404.0
897.3333,966.8,923.5,1067.5,1393.0416
709.5,1015.0,868.0,3234.0,2736.5
976.5,1137.3334,1101.0,2068.5,2136.2
3371.5,3506.6667,3572.5,3642.0,4735.0
610.0,737.0,1496.0,2362.0,3189.0
1014.5,1099.0,1275.3334,1721.0,2516.0
1192.0,1260.1666,1287.0,1356.5,1480.0
744.3333,1089.6666,892.0,3351.8,2885.75
329.0,464.66666,298.0,2658.0,1722.0
379.66666,533.0,366.5,2735.0,1822.25
839.75,970.0,2075.0,2392.6667,2808.5
1007.8333,1144.8,1112.0,1895.0,2016.0
708.25,1050.0,902.5,3392.5,2918.5
1302.5,1446.0,1479.5,1595.7,1795.0
824.0,818.6667,932.0,1193.0,2139.2
1223.1666,1232.0,1353.0,1695.0,2389.8
1048.5,1123.0,1153.5,1238.6666,1541.75
411.0,571.5,426.33334,2667.0,1978.0
1018.25,1090.0,1693.0,1840.5,2529.5
753.25,995.0,916.25,2905.3333,2716.5
919.5,955.5,1098.0,1480.0,2226.0
1078.5714,1158.5,1336.0,1599.0,2350.75
879.5,1030.0,1106.0,2165.0,2094.5
3828.0,4018.0,3954.6667,3908.6667,4829.5
739.5,1050.0,992.0,3379.3333,2743.5
697.0,1073.0,844.0,3320.0,2668.3333
748.75,1081.0,943.0,3322.75,2712.55
403.0,563.6667,373.33334,2564.0,1764.0
1116.0,1099.5,1216.5,1550.25,2369.25
980.1667,988.1667,1065.3334,1557.0,2235.8333
372.0,541.0,354.0,2855.0,1993.0
1101.8334,1132.0,1378.5,1566.6666,2470.0
394.5,546.125,386.33334,2927.0,1990.0
1031.2,1122.6666,1154.6666,1524.8,1976.0
965.25,1203.0,1257.0,2693.75,2817.7917
706.0,1049.0,961.5,3213.5,2810.1667
1223.5,1270.6666,1336.4,1398.6666,1766.0
1049.4286,1096.0,1363.3334,1671.75,2485.0
1371.0,1510.0,1539.75,1657.0,1728.125
4085.0,4237.3335,4237.3335,4051.5,4861.8335
728.8,1095.6,857.25,3482.6667,2720.75
856.0,1112.0,1078.0,3108.5,2988.0
1416.5,1501.0,1704.0,1825.5,2586.0
386.5,535.5,378.5,3000.0,1886.8
394.33334,594.0,382.75,3116.5,1883.5
1400.0,1481.5,1533.3334,1613.5,1806.1111
933.0,937.5,961.75,1434.0,2226.5
730.0,1042.0,951.5,3215.2,2932.4285
325.0,437.0,292.33334,2194.0,1716.6666
800.0,869.0,1758.0,2147.0,2331.0
711.3333,1091.3334,924.5,3405.0,2670.5
739.0,1059.2,860.0,3104.0,2667.0
930.0,1018.6667,1240.6666,1652.5,2232.2
743.25,1052.5,911.75,3246.0,2691.5
669.1667,954.8333,854.0,3292.25,2677.8
677.75,1051.0,809.0,3260.0,2649.0
940.5,951.3333,1039.0,1512.0,2128.5
736.75,1051.0,874.0,3308.0,2931.0
759.1667,1076.6666,983.0,3374.0,2741.0
995.6667,1118.0,1082.0,1867.3334,2023.0
366.5,571.6,362.5,2988.0,1870.6666
1144.0,1183.6666,1196.0,1272.6666,1447.2
928.125,1200.0,1238.6666,2795.25,2943.1667
810.0,921.5,1091.3334,1623.0,2118.0
1520.6666,1623.0,1688.0,1753.5,1900.0
1063.5,1139.3334,1247.0,1977.5,2228.0
709.25,1058.0,920.25,3359.6667,2829.25
1203.0,1306.5,1521.9166,1756.1666,2295.75
377.5,574.8333,387.5,3078.6667,1949.6666
742.0,1068.0,967.5,3268.5,2751.25
728.75,1063.5,851.5,3469.0,2616.0
1379.3334,1447.6,1574.8334,1747.0,2495.25
1108.0,1130.0,1228.0,1746.6666,2119.3333
1381.2,1528.0,1588.0,1634.0,1604.5
620.0,699.3,1357.5,2166.0,2951.5
781.5,886.625,2036.6666,2281.0,3340.5
901.2,1050.0,986.0,1975.0,2033.5
1035.3334,1027.3334,1330.0,1562.6666,2300.0
917.0,1012.0,1065.3334,1345.25,2102.0
1136.0,1264.6666,1328.0,2176.0571,2475.75
1265.3334,1280.5,1443.6666,1605.0,2273.6667
884.0,949.5,960.1667,1101.6666,1382.75
780.0,1082.6666,926.5,3092.0,2667.0
377.25,560.1667,352.16666,2862.2,1789.3334
1003.5,1162.0,1138.0,2168.5,2174.5
1029.3334,1101.0,1235.0,1602.0,2120.0
794.0,1029.0,926.75,3094.0,2741.0
819.2,1050.0,1968.4445,2485.3333,2349.0
984.2,1135.3334,1077.0,1940.0,1984.0
891.375,885.5,998.5,1220.0,2104.0
347.5,535.0,329.0,3382.0,2005.25
780.0,928.0,956.25,2168.0,2247.0
673.75,1010.25,803.0,3270.0,2681.0
1037.2667,1141.5,1109.2,1807.9166,2044.7
362.0,494.25,334.875,2374.6667,1774.9
402.25,603.5,398.0,2984.0,1864.2
1066.0,1172.0,1170.0,2256.0,2156.0
707.5,1042.6666,940.5,3255.5,2786.0
1054.0,1138.1666,1375.0,1877.0,2269.5
978.6667,1058.6666,1034.0,1974.5,2024.25
999.0,1162.6666,1130.0,2168.0,2220.0
1414.0,1524.6666,1766.0,1938.6666,2514.25
793.0,1109.3334,959.6,3257.3333,2996.5
675.0,1004.0,848.0,3413.0,2553.0
1225.3334,1286.0,1304.5714,1338.0,1688.3334
1014.5,1132.6666,1094.0,1841.5,1976.0
684.4167,1001.0,888.0,3383.0,2709.0
3855.0,4081.0,4050.0,3945.0,5372.3335
3502.5,3754.0,3826.0,3729.7144,5227.7144
782.5,1108.0,987.75,3204.0,2979.5
841.6667,982.0,1014.0,2136.0,2379.3333
988.6667,1108.0,1435.0,1716.5,2410.3333
983.75,1076.0,1116.0,1623.0,2135.0
363.0,520.0,360.0,2934.0,1869.0
1000.4,1145.3334,1062.3334,1930.0,2032.5
759.5,1112.0,896.0,3436.0,2711.5
712.3333,1040.0,918.5,3337.0,3082.0
748.6667,1096.0,959.75,3226.5,2944.7144
1207.5,1289.0,1318.0,1421.5,1859.5
380.0,546.5,348.33334,2510.0,1764.0
1044.0,1142.5,1185.0,1705.0,2308.6667
700.0,1028.0,824.0,3314.6667,2654.0
822.6667,890.4167,1008.375,1303.8334,2102.0
876.6667,996.0,1982.0,2472.75,2533.3333
984.0,1136.0,1066.0,2323.0,2167.5
374.0,573.0,386.0,3166.0,1913.5
724.6667,1077.6666,849.0,3434.0,2616.0
943.4762,1037.0,1113.5,1569.0,2239.3333
1191.2,1163.5,1289.0,1878.0,2290.8
1240.6666,1302.5,1464.6666,1714.6666,2174.625
729.6,1027.0,842.5,3084.1667,2643.1667
710.5,1050.25,820.0,3282.0,2590.25
1301.2,1502.5,1704.6666,1936.0,2488.2
435.0,620.0,442.0,2904.6667,1965.0
856.625,982.5,1108.0,2097.5,2285.0
1273.3334,1352.6666,1352.0,1406.0,1846.5
662.5,1005.5,754.5,3284.0,2559.5
764.25,1070.0,891.0,3280.0,2946.375
706.0,761.3333,1766.0,2070.0,2954.5
763.6667,1080.6666,914.0,3243.0,2609.3333
899.8,1093.0,1005.5,2103.5,2143.0
2824.6667,2901.3333,2884.0,2976.0,3537.0
821.0,896.4583,1091.3334,1622.0,2118.0
1001.0,1172.0,1115.3334,2091.0,2167.5
1611.0,1714.0,1683.0,1838.0,1885.3334
934.6667,1099.0,1090.0,2056.0,2066.5
1213.5,1280.0,1281.0,1352.0,1872.5
1174.0,1350.0,1428.0,1732.6666,2357.5
1139.5,1194.0,1323.3334,1755.0,2231.8
694.75,1046.0,922.5,3508.0,2864.5
1002.1667,1063.0,1114.6666,1345.0,2166.5
749.375,1076.5,965.5,3296.1667,2734.5
1803.0,2159.1667,2158.5,2230.0,2488.2
1394.6666,1446.0,1465.0,1496.0,1591.0
1429.3334,1572.3334,1660.0,1702.0,1870.0
1353.3334,1431.1111,1428.0,1491.0,1751.5
342.0,508.33334,308.2,2998.0,1947.3334
1127.6,1112.0,1270.1666,1558.0,2445.0
729.5,1046.6666,887.25,3308.0,2629.0
