BLUE,GREEN,RED,NIR,NDVI,Landcover
0.04075,0.0467,0.02215,0.0097,0.06803888,water
0.04085,0.04495,0.0219,0.0096,0.047785576,water
0.03985,0.0464,0.0219,0.0094,0.07594202,water
0.04085,0.04695,0.0223,0.00975,0.06947611,water
0.04195,0.04715,0.02365,0.0099,0.058361415,water
0.041,0.04745,0.0254,0.00945,0.07292253,water
0.04085,0.04695,0.02655,0.0098,0.06947611,water
0.04155,0.0472,0.02665,0.00945,0.063662,water
0.04195,0.05075,0.0287,0.00845,0.09492988,water
0.0412,0.05015,0.0282,0.0087,0.09797481,water
0.0425,0.0532,0.0287,0.0088,0.11180773,water
0.0419,0.053,0.028,0.0089,0.116965204,water
0.0402,0.048,0.0272,0.0082,0.08843539,water
0.04,0.047,0.0247,0.0087,0.080459766,water
0.0398,0.0473,0.0236,0.0082,0.086107925,water
0.0394,0.0469,0.0242,0.0081,0.08690614,water
0.0405,0.047,0.02535,0.00795,0.07428569,water
0.04135,0.04655,0.0264,0.00765,0.05915812,water
0.04135,0.04655,0.0264,0.00765,0.05915812,water
0.0416,0.04955,0.0268,0.0082,0.08721887,water
0.043,0.0503,0.0268,0.0084,0.0782422,water
0.04115,0.0487,0.02545,0.0084,0.08402895,water
0.03885,0.0488,0.02555,0.00795,0.11351969,water
0.0389,0.05025,0.02545,0.00765,0.12731354,water
0.03955,0.0488,0.02625,0.0083,0.10469723,water
0.04065,0.0478,0.0274,0.00785,0.08083665,water
0.04125,0.04795,0.02745,0.00815,0.07511208,water
0.0422,0.04975,0.02755,0.00785,0.08210985,water
0.041,0.04925,0.02765,0.0084,0.09141272,water
0.0417,0.0522,0.0283,0.0084,0.11182107,water
0.043,0.0529,0.028,0.0086,0.10323253,water
0.0435,0.0523,0.0285,0.0091,0.09185804,water
0.0434,0.053,0.0285,0.0092,0.09958505,water
0.0428,0.0529,0.0281,0.0095,0.10553813,water
0.042,0.0529,0.0281,0.0108,0.11485777,water
0.041,0.0525,0.0295,0.011,0.12299462,water
0.0436,0.0516,0.0308,0.0115,0.08403362,water
0.0448,0.0512,0.0312,0.011,0.06666667,water
0.0424,0.0509,0.0312,0.0118,0.09110399,water
0.043,0.0507,0.0311,0.0126,0.082177155,water
0.0438,0.0514,0.0317,0.0118,0.07983191,water
0.0429,0.0513,0.0319,0.013,0.08917198,water
0.0436,0.0514,0.0305,0.0138,0.08210524,water
0.0407,0.0507,0.0288,0.0137,0.10940921,water
