BLUE,GREEN,RED,NIR,SWIR,NDVI,NDBI,REI
741.6667,1078.6666,843.0,3393.0,2657.5,0.6019830028328612,-0.12156020163622841,0.0010521714554093343
1612.0,1624.0,1648.0,1814.6666,2527.0,0.04813244220509131,0.1640691157630574,6.923902895154665e-05
725.0,1015.0,919.3333,3282.0,2709.0,0.5623611675845855,-0.09564346519779669,0.0010731378938126487
368.75,527.25,348.4,2752.3333,1990.0,0.7752789638502607,-0.1607506794176613,0.002342184629986261
1292.0,1464.0,1509.0,1645.5,1806.25,0.0432715168806467,0.04657058014050844,0.00016614719231220255
1154.0,1234.0,1620.5,1865.0,2549.6,0.0701477549849376,0.15507633760703118,0.00033007207269941853
4037.0,4219.0,4188.0,4097.8335,5103.6665,-0.01088200722353403,0.10931185132858778,3.6763951187305714e-06
591.0,652.0,1488.0,1751.3334,2720.0,0.0812924659128943,0.21663931390130742,0.0011191601982438839
858.0,1139.0,1081.0,3110.0,2954.5,0.48413266523502746,-0.02564102564102564,0.0008429752684831312
958.25,1104.6666,1055.5,2043.0,2023.5,0.31870259803130546,-0.004795278495020288,0.00055351511438143
670.5,738.75,1848.0,2168.5,3344.8333,0.0797958421511266,0.2133615430070226,0.0010287417605802708
377.25,620.5,455.0,2928.0,1965.0,0.73100798108188,-0.19681177191906807,0.0023031269977138026
1304.0,1350.0,1414.0,1809.75,2243.5,0.12276075998449011,0.10701289089002652,0.00021414443581727118
1399.0,1527.5,1625.2,1805.6666,2064.5,0.05260087932302584,0.06687913641753819,0.0001608692008021541
1585.3334,1640.0,1766.0,1812.0,2419.0,0.012856344326439352,0.14346490191444103,7.885602270295545e-05
1851.0,1927.5,2022.6666,2254.0,3017.0,0.054091988372439406,0.14475431606905712,9.654063522300647e-05
696.5,1012.8,875.25,3308.0,2649.0,0.5815454491125321,-0.11062615410441497,0.0011318276969484208
397.2,597.5,390.0,3441.0,2087.6667,0.7963978073610023,-0.2447847507247995,0.002221417477165116
740.7917,1090.8,948.5,3441.0,2703.6,0.5678323271443216,-0.12000781173713505,0.00105786591855042
347.5,535.0,329.0,3382.0,2005.25,0.8226893020749124,-0.2555571024177456,0.0025746058761592938
1918.0,2066.0,2106.0,2230.0,2202.0,0.02859778597785978,-0.00631768953068592,7.290792803613616e-05
949.6667,1101.0,1057.0,1989.3334,1976.0,0.30605100544805763,-0.0033624915372815773,0.0005497411897077819
2191.0,2221.6667,2308.0,2347.6,2800.3333,0.008505885385342363,0.0879446709226011,3.04317625828148e-05
1121.0,1123.3334,1211.5,1303.5,2020.75,0.03658051689860835,0.21576295404978565,0.00012478402108132022
728.75,1063.5,851.5,3469.0,2616.0,0.6058326582571462,-0.14018077239112572,0.0010824598156174232
966.0,980.5,1063.0,1138.5,1685.0,0.03429479900068135,0.19355409952187003,0.0001566857823321112
364.25,562.5,381.0,2918.0,2006.4,0.7690209154289178,-0.18511899926894645,0.002396088570129748
3963.0,4049.0,4095.0,4049.0,5483.5,-0.005648330058939097,0.15048518227117755,5.358176664816642e-06
834.25,1058.0,2029.3334,2438.0,2349.0,0.09147886746039596,-0.018592020054313766,0.0007875651383278672
998.8333,1145.3334,1061.5,2294.5,2203.5,0.36740166865315854,-0.02023121387283237,0.0005647778268250305
692.0,1027.0,883.5,3343.0,2896.25,0.581923577428132,-0.07160315743078094,0.001144300575948796
1216.0,1318.4,1576.4,1816.5,2708.0,0.07076542191046005,0.19703834677864956,0.00027163581530664424
529.75,665.8333,1363.0,2410.8,2531.0,0.2776511738830887,0.02432312112995261,0.0014701077057777605
1395.3334,1514.0,1620.0,2053.3333,2163.8,0.11796732411948564,0.026194737548372118,0.00022949712579777164
1155.5,1272.5,1361.0,1468.5,1701.5,0.03799257819402721,0.07350157728706624,0.00018429975147502364
1398.6666,1601.5,1619.0,1698.0,1773.0,0.023816701839011155,0.021607605877268798,0.00012594846924573439
4204.0,4419.0,4368.0,4236.5,5530.0,-0.015282700912313324,0.13244253314902985,1.8243583556244196e-06
409.75,624.0,387.0,3381.3333,2002.1666,0.7946041556355963,-0.2561840300210649,0.0021395495822738083
3799.3333,3960.0,3977.6667,3949.0,5023.0,-0.0036164886307128593,0.11970575122603656,9.97278283684588e-06
1003.6,1161.0,1122.6666,2073.8333,2185.0,0.2975650648385754,0.026102618292197587,0.0005137022195860185
1528.0,1698.0,1658.6666,2196.6667,2055.5,0.13954697509551253,-0.033198768994639895,0.00019908477275058914
1254.4,1334.5,1493.2,1573.0,2214.6667,0.026025699562976963,0.16940949424087398,0.00016133735194664701
1933.5,2038.0,2065.6,2283.4285,2800.3333,0.05008670327177669,0.10167761990736855,7.921787051407459e-05
1222.0,1288.0,1340.0,1458.6666,1802.0,0.0424011205907842,0.10529546320375104,0.00013266442403628019
1836.2858,1872.6666,2001.3334,2095.2,3165.25,0.022913666467359897,0.2034141565835623,6.725950485254017e-05
1123.0,1176.0,1285.0,1657.0,1912.5,0.1264445955132563,0.07157865247233507,0.0002867163355289863
1251.0,1288.6666,1416.0,1558.6666,2484.0,0.04796053446796358,0.2288918408458417,0.00015766046173482215
1752.8,1855.0,1878.0,2121.3333,2074.2917,0.06084346608470962,-0.011212060181736825,9.905759071965774e-05
391.0,553.0,380.0,3214.2,1990.0,0.7885482165711424,-0.2352330809730602,0.0022406946724928536
1421.25,1414.6666,1665.0,1823.5,2646.0,0.04543500071664039,0.18402505873140174,0.0001551009088537315
1545.0,1812.0,1995.0,2316.8,2163.8,0.07463240410037575,-0.03414721242690711,0.00021547988750151884
